experiment,cohort,task,band,method,seed,mean_relative_l2,finite_count,population,training_regime
S1,test_1040_1219,N96_t6_frequency_band,Q21,GIFT-Lite,20260821,0.6422850572349824,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,Q21,GIFT-Lite,20260822,0.6526488542326626,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,Q21,GIFT-Lite (high-frequency branch disabled),fixed,1.805929248404492,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,P22-31,GIFT-Lite,20260820,0.6237628685602088,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,P22-31,GIFT-Lite,20260821,0.6204726216406076,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,P22-31,GIFT-Lite,20260822,0.6312229589799688,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,P22-31,GIFT-Lite (high-frequency branch disabled),fixed,1.7994690713414117,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,outside P31,GIFT-Lite,20260820,1.0778106709343591,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,outside P31,GIFT-Lite,20260821,1.0053518707472013,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,outside P31,GIFT-Lite,20260822,1.0123777537305638,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,outside P31,GIFT-Lite (high-frequency branch disabled),fixed,1.9717862891017812,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,reliable outside P31 state,GIFT-Lite,20260820,1.0751898118555585,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,reliable outside P31 state,GIFT-Lite,20260821,1.0019887192045596,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,reliable outside P31 state,GIFT-Lite,20260822,1.0100235833077837,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,reliable outside P31 state,GIFT-Lite (high-frequency branch disabled),fixed,1.9657135359691233,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,reliable outside P31 dynamics,GIFT-Lite,20260820,0.5689905397762799,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,reliable outside P31 dynamics,GIFT-Lite,20260821,0.5286954487772733,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,reliable outside P31 dynamics,GIFT-Lite,20260822,0.533772148486666,180,180,GIFT-Lite
S1,test_1040_1219,N96_t6_frequency_band,reliable outside P31 dynamics,GIFT-Lite (high-frequency branch disabled),fixed,0.9999849778357967,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,P21,GIFT-Lite,20260820,0.036024010630663184,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,P21,GIFT-Lite,20260821,0.03602400125611126,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,P21,GIFT-Lite,20260822,0.036024004570161625,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,P21,GIFT-Lite (high-frequency branch disabled),fixed,0.036023999418377584,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,Q21,GIFT-Lite,20260820,0.649716621578256,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,Q21,GIFT-Lite,20260821,0.6414171629502221,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,Q21,GIFT-Lite,20260822,0.6518763898592695,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,Q21,GIFT-Lite (high-frequency branch disabled),fixed,1.8055490655790347,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,P22-31,GIFT-Lite,20260820,0.6237017894947973,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,P22-31,GIFT-Lite,20260821,0.6204698772270415,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,P22-31,GIFT-Lite,20260822,0.6311222530675028,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,P22-31,GIFT-Lite (high-frequency branch disabled),fixed,1.7994568730033558,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,outside P31,GIFT-Lite,20260820,1.0710636670593485,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,outside P31,GIFT-Lite,20260821,0.9980732856849416,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,outside P31,GIFT-Lite,20260822,1.007457075782955,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,outside P31,GIFT-Lite (high-frequency branch disabled),fixed,1.9650500317985133,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,reliable outside P31 state,GIFT-Lite,20260820,1.0710232493262013,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,reliable outside P31 state,GIFT-Lite,20260821,0.9980155973036097,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,reliable outside P31 state,GIFT-Lite,20260822,1.0074256624257774,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,reliable outside P31 state,GIFT-Lite (high-frequency branch disabled),fixed,1.964961810710707,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,reliable outside P31 dynamics,GIFT-Lite,20260820,0.5669260529760339,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,reliable outside P31 dynamics,GIFT-Lite,20260821,0.5266071722965281,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,reliable outside P31 dynamics,GIFT-Lite,20260822,0.5324732372507324,180,180,GIFT-Lite
S1,test_1040_1219,N128_t6_frequency_band,reliable outside P31 dynamics,GIFT-Lite (high-frequency branch disabled),fixed,0.999979499302629,180,180,GIFT-Lite
