experiment,training_regime,subject,method,seed,absolute_time,lead_time,population,finite_count,mean,sample_sd,median,p95,maximum
S2,GIFT,all trajectories,GIFT,20260822,7.5,2.5,180,180,0.028859620799505423,0.008760928097917058,0.027671142131707183,0.045059059181591414,0.06223571786474902
S2,GIFT,all trajectories,GIFT,20260822,8.0,3.0,180,180,0.03649353362166764,0.012994422735249775,0.033690557528079514,0.06199609361763887,0.07896862731387116
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260822,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260822,5.5,0.5,180,180,0.02191311523442173,0.004851504175901546,0.02138547501180093,0.03018227407330739,0.03569222692489878
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260822,6.0,1.0,180,180,0.021071436278145454,0.004769721040402092,0.020489973098161564,0.02875031391777573,0.037528552638688116
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260822,6.5,1.5,180,180,0.021665911165707315,0.0055492501210446495,0.02058755608704524,0.032294317770388055,0.038569351607588565
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260822,7.0,2.0,180,180,0.024003480595615478,0.006559555854692353,0.022473759496840183,0.03664109287828702,0.04724068518906686
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260822,7.5,2.5,180,180,0.028858987275260643,0.008755827764553817,0.02767572871641473,0.04501388240422281,0.06225908015127378
S2,GIFT,all trajectories,GIFT (recursive local correction disabled),20260822,8.0,3.0,180,180,0.036492231473349034,0.012987079441030173,0.03368310228441514,0.06204978119265679,0.07892383023165984
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260820,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260820,5.5,0.5,180,180,0.03605243222442528,0.008010822733160986,0.035298682749611024,0.050348191223165153,0.06492661028877433
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260820,6.0,1.0,180,180,0.040756149334592026,0.01163550969107193,0.0388760519365173,0.05802045597657373,0.11026566072442033
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260820,6.5,1.5,180,180,0.04698306150918345,0.03390210391648935,0.04183234891237041,0.07095824445833035,0.449396479190492
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260820,7.0,2.0,180,180,0.05441795816361732,0.04685988504613564,0.046064649692961174,0.09198976608502842,0.5822414797575668
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260820,7.5,2.5,180,180,0.06778723603586087,0.06756051157165274,0.05335305140942256,0.11696116246372078,0.7569558065657788
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260820,8.0,3.0,180,180,0.08812355823389986,0.09765587119056937,0.0655491109729794,0.1774649771520381,0.8596447208021816
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260820,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260820,5.5,0.5,180,180,0.036052647776767505,0.008010861227395468,0.03529917648405913,0.05034836079280881,0.06492665174661086
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260820,6.0,1.0,180,180,0.04075681498888128,0.011635664187933626,0.03887515646482988,0.05802255358666886,0.11027038730278518
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260820,6.5,1.5,180,180,0.04894647408237926,0.05855803455743564,0.041836633496972045,0.07095933317585025,0.8024270749477573
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260820,7.0,2.0,180,179,0.051473979153454794,0.02518553069016047,0.04602716280092582,0.08844841560707105,0.20683445030505954
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260820,7.5,2.5,180,179,0.06394903975480268,0.04369082649468577,0.05324553149866006,0.11462542432063295,0.33267602344940245
S2,GIFT-Lite,all trajectories,GIFT-Lite (recursive local correction disabled),20260820,8.0,3.0,180,179,0.08897035454191042,0.13182717234848176,0.06522097613076816,0.17684344176159422,1.6249925160782726
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260821,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260821,5.5,0.5,180,180,0.0359160490159002,0.008021882331394007,0.0353452561864427,0.050731618864560096,0.0676979100217355
S2,GIFT-Lite,all trajectories,GIFT-Lite,20260821,6.0,1.0,180,180,0.0406654902523454,0.011568611072730437,0.03881862881622358,0.05791158992194395,0.1099126732274306
