cohort,resolution,metric,experiment,method,seed,absolute_time,lead_time,population,finite_count,mean,sample_sd,median,p95,maximum
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260820,5.7,0.7000000000000002,180,180,0.0370928050729214,0.0087905252270636,0.0356082558320877,0.0541353760534518,0.0675353637605669
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260820,5.8,0.7999999999999998,180,180,0.03799828291267,0.0093137804076776,0.0364878604494129,0.0579741307328215,0.0685129558889074
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260820,5.9,0.9000000000000004,180,180,0.038843382949994,0.0100875785718611,0.0375864944144953,0.0580879393611817,0.0789227986184582
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260820,6.0,1.0,180,180,0.0397851481042525,0.0113484749279647,0.0378584249407967,0.0576428904414457,0.1042317921021215
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260821,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260821,5.1,0.0999999999999996,180,180,0.0189670435344925,0.003719838434365,0.0186482954121229,0.0253744179653194,0.0280746332494877
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260821,5.2,0.2000000000000001,180,180,0.0264608975499734,0.005202050764168,0.0257974286748699,0.0350231752646996,0.0423785564119186
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260821,5.3,0.2999999999999998,180,180,0.0301221393650381,0.0060911118106494,0.0291439102869134,0.0409055549156663,0.0517791745262894
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260821,5.4,0.4000000000000003,180,180,0.0325298642350644,0.0068741469880654,0.0318580801501317,0.0445341027746536,0.0546669901368888
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260821,5.5,0.5,180,180,0.0343208156599636,0.0076291241828546,0.0337688837852479,0.0481117678541786,0.0619925510566745
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260821,5.6,0.5999999999999996,180,180,0.0358036734315629,0.0083276250070118,0.0344576737291321,0.050765027349286,0.0668508772823101
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260821,5.7,0.7000000000000002,180,180,0.0369788412006386,0.0087908626282143,0.0355469506819066,0.0543482506818334,0.0680057354531549
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260821,5.8,0.7999999999999998,180,180,0.037896487241162,0.0093152193345947,0.0363549012591615,0.0583337383060096,0.0683847544663404
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260821,5.9,0.9000000000000004,180,180,0.0387447860757992,0.0100439213680105,0.0373064298498187,0.0573942727505668,0.0786856604316617
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260821,6.0,1.0,180,180,0.0396756121173941,0.0112593653580469,0.0377877277368694,0.0572667251309276,0.1038687264292045
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260822,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260822,5.1,0.0999999999999996,180,180,0.0190495860422311,0.0037692977164209,0.0189595793357224,0.0255324347993921,0.0283069729259792
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260822,5.2,0.2000000000000001,180,180,0.0266194738499109,0.0052479641620096,0.025783220301515,0.0355457226263631,0.0414731367884892
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260822,5.3,0.2999999999999998,180,180,0.0303127095120416,0.006078375147676,0.0295322403153017,0.0414239888453653,0.0489883457933976
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260822,5.4,0.4000000000000003,180,180,0.0327190377251211,0.0067800920336445,0.0317630655183955,0.0447813458962737,0.0530587173311427
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260822,5.5,0.5,180,180,0.034544100574875,0.0075779438285432,0.0336252769050318,0.0474114122851574,0.061074127693995
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260822,5.6,0.5999999999999996,180,180,0.0360982152528446,0.0083348163327779,0.0348147765362425,0.050853529281325,0.0665228667964053
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260822,5.7,0.7000000000000002,180,180,0.0372216565823476,0.008811809228009,0.035709812068293,0.0547975399929588,0.0678533538648239
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260822,5.8,0.7999999999999998,180,180,0.0380692913727148,0.0093399655138665,0.0365837431170045,0.0581005924765334,0.0686088903790742
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260822,5.9,0.9000000000000004,180,180,0.0388865489242497,0.0100854478670622,0.0374677046153043,0.0580981053779912,0.0789135762739372
test_1040_1219,N96,full_relative_l2,M3,GIFT-Lite,20260822,6.0,1.0,180,180,0.039802551109885,0.0113068065245768,0.0378758725649692,0.0574247300300943,0.1040327677528609
test_1040_1219,N96,full_relative_l2,M3,FNO-2D,fixed,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_1040_1219,N96,full_relative_l2,M3,FNO-2D,fixed,5.1,0.0999999999999996,180,180,0.1744649623047915,0.0237229378527827,0.1741033854259917,0.2156863244683476,0.2370705697273248
test_1040_1219,N96,full_relative_l2,M3,FNO-2D,fixed,5.2,0.2000000000000001,180,180,0.1909499574132441,0.025063150588404,0.1903941859320643,0.2320319195971167,0.271688204690428
test_1040_1219,N96,full_relative_l2,M3,FNO-2D,fixed,5.3,0.2999999999999998,180,180,0.2015948633784418,0.0264616988655266,0.202007797465075,0.2418002700574589,0.336311051321392
test_1040_1219,N96,full_relative_l2,M3,FNO-2D,fixed,5.4,0.4000000000000003,180,180,0.213380921832508,0.0292367605111545,0.2112204349149717,0.2539813335093676,0.4035990900416328
test_1040_1219,N96,full_relative_l2,M3,FNO-2D,fixed,5.5,0.5,180,180,0.2206476992387328,0.0319382432336021,0.2179377451691183,0.2653865244504954,0.4477056812292432
test_1040_1219,N96,full_relative_l2,M3,FNO-2D,fixed,5.6,0.5999999999999996,180,180,0.2293776589803944,0.0337712052382655,0.2259832219649249,0.2761935632420474,0.4714335268311556
test_1040_1219,N96,full_relative_l2,M3,FNO-2D,fixed,5.7,0.7000000000000002,180,180,0.2383175427405545,0.0350068645547149,0.2353959352452428,0.2848311041610321,0.4803534613025171
test_1040_1219,N96,full_relative_l2,M3,FNO-2D,fixed,5.8,0.7999999999999998,180,180,0.2493439873929107,0.0369894260663116,0.2473529023061798,0.3010501279009986,0.483975749960201
test_1040_1219,N96,full_relative_l2,M3,FNO-2D,fixed,5.9,0.9000000000000004,180,180,0.2592418380873023,0.0392509755494769,0.2556955929845566,0.3231121044503049,0.4703474706179202
test_1040_1219,N96,full_relative_l2,M3,FNO-2D,fixed,6.0,1.0,180,180,0.2711991538914999,0.0421286286405987,0.2673292825120839,0.3463122934530177,0.4601468765488905
test_1040_1219,N96,full_relative_l2,M3,FNO-3D,fixed,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_1040_1219,N96,full_relative_l2,M3,FNO-3D,fixed,5.1,0.0999999999999996,180,180,0.167893658797593,0.0239692547693851,0.1687244108823326,0.2111932934605934,0.2253262843533892
test_1040_1219,N96,full_relative_l2,M3,FNO-3D,fixed,5.2,0.2000000000000001,180,180,0.2461395215175096,0.0338624383056966,0.2499382967222459,0.2993241365702223,0.3316146218867687
test_1040_1219,N96,full_relative_l2,M3,FNO-3D,fixed,5.3,0.2999999999999998,180,180,0.2753005750954527,0.0319895746484263,0.2748898156022847,0.3247663684313883,0.3635867992502027
test_1040_1219,N96,full_relative_l2,M3,FNO-3D,fixed,5.4,0.4000000000000003,180,180,0.294246551737723,0.0329754931864412,0.2932965600793662,0.3462356134947668,0.4109501323116922
test_1040_1219,N96,full_relative_l2,M3,FNO-3D,fixed,5.5,0.5,180,180,0.3152528798137037,0.0353204845605768,0.3164076939260198,0.3732119878297238,0.4577542133954123
test_1040_1219,N96,full_relative_l2,M3,FNO-3D,fixed,5.6,0.5999999999999996,180,180,0.3400028208956863,0.038104759195233,0.3417802257317227,0.3999490343397021,0.4972928228843256
test_1040_1219,N96,full_relative_l2,M3,FNO-3D,fixed,5.7,0.7000000000000002,180,180,0.366435956467957,0.0418092144559082,0.3673751528614836,0.4338435234122326,0.5321202821720283
test_1040_1219,N96,full_relative_l2,M3,FNO-3D,fixed,5.8,0.7999999999999998,180,180,0.3936163804125508,0.0462296254007083,0.3930255726702821,0.4693519812213149,0.5611501487867515
test_1040_1219,N96,full_relative_l2,M3,FNO-3D,fixed,5.9,0.9000000000000004,180,180,0.421938742934668,0.0507086049442021,0.4179782505439706,0.5055890020550259,0.5837293733745186
test_1040_1219,N96,full_relative_l2,M3,FNO-3D,fixed,6.0,1.0,180,180,0.4511807399880764,0.0547684413158056,0.4458191010972316,0.5480404684703241,0.6013793989691332
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260820,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260820,5.1,0.0999999999999996,180,180,0.0190918915026226,0.0038072605738804,0.0190704423388174,0.025583629723811,0.0286136135656223
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260820,5.2,0.2000000000000001,180,180,0.0266933631401175,0.0052860312966253,0.0261646151442697,0.0356011742734135,0.0402545930785849
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260820,5.3,0.2999999999999998,180,180,0.0303922529049741,0.006135433915334,0.0294222564425549,0.0410972543111833,0.0493417311724492
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260820,5.4,0.4000000000000003,180,180,0.0327594338913603,0.00688539027313,0.0319294576688506,0.0447062154243462,0.0536008376047197
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260820,5.5,0.5,180,180,0.034482178840263,0.0076445321985021,0.0335967451100241,0.0478859112677819,0.0606656714132248
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260820,5.6,0.5999999999999996,180,180,0.0359369157855013,0.0083239276282146,0.0348285708951379,0.0509193499944464,0.066054245565573
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260820,5.7,0.7000000000000002,180,180,0.0370677784075393,0.0087837135948409,0.0355780007245734,0.0541011134179626,0.0675151856606332
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260820,5.8,0.7999999999999998,180,180,0.0379790855591511,0.0093102682464672,0.0364778405222273,0.0579505631559051,0.0685006911441248
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260820,5.9,0.9000000000000004,180,180,0.0388292850573476,0.0100878872551063,0.0375834024708173,0.0580922835093985,0.0789444904293525
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260820,6.0,1.0,180,180,0.0397712998445146,0.0113493906568637,0.037849580274158,0.0576416224785707,0.1042603454726022
test_1040_1219,N128,full_relative_l2,M3,GIFT-Lite,20260821,5.0,0.0,180,180,0.0,0.0,0.0,0.0,0.0
